Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Segment,Product ID,Category,Sub-Category,Sales,Quantity,Discount,Profit
26,EH-13970-20200115,2020-01-15,2020-01-19,Second Class,EH-13970,Personal,BOO-MYS-10001634,Books,Mystery,18.4956572562306,4,0.1,1.15488679780469
27,EH-13970-20200116,2020-01-16,2020-01-20,Second Class,EH-13970,Personal,STA-PEN-10003027,Stationary,Pens,90.5753835681862,5,0.5,20.5443123969003
28,TB-21545-20190915,2019-09-15,2019-09-19,Low-Cost Shipping,TB-21545,Personal,TEC-COM-10004834,Tech Products,Computer Equipment,2386.17671253575,6,0.1,-2997.52761771578
29,TB-21545-20190911,2019-09-11,2019-09-15,Low-Cost Shipping,TB-21545,Personal,BOO-MYS-10000474,Books,Mystery,1.07363701968539,1,0.15,-9.61803394743177
30,TB-21545-20190913,2019-09-13,2019-09-17,Low-Cost Shipping,TB-21545,Personal,TEC-MON-10004848,Tech Products,Monitors,225.711043524489,5,0.1,13.885753810414
31,TB-21545-20190914,2019-09-14,2019-09-18,Low-Cost Shipping,TB-21545,Personal,BOO-FAN-10001509,Books,Fantasy,0.846299169275514,4,0.5,0.900277579066781
32,TB-21545-20190914,2019-09-14,2019-09-18,Low-Cost Shipping,TB-21545,Personal,BOO-GRA-10004042,Books,Graphic Novels,172.271618506003,5,0.1,6.85640054575772
33,TB-21545-20190915,2019-09-15,2019-09-19,Low-Cost Shipping,TB-21545,Personal,BOO-MYS-10001525,Books,Mystery,7.60929815667525,8,0.1,-3.14490661580579
34,TB-21545-20190911,2019-09-11,2019-09-15,Low-Cost Shipping,TB-21545,Personal,BOO-GRA-10001683,Books,Graphic Novels,17.6201811138029,1,0.5,3.92977767573059
35,MA-17585-20211014,2021-10-14,2021-10-18,Second Class,MA-17585,Work from Home,BOO-ROM-10000249,Books,Romance,39.2411257717109,2,0.1,17.5107411880383
36,GH-14510-20201207,2020-12-07,2020-12-11,First Class,GH-14510,Corporate/Retail,STA-MIS-10004977,Stationary,Miscellaneous,928.022304982411,9,0.1,42.4262780768305
37,GH-14510-20201204,2020-12-04,2020-12-08,First Class,GH-14510,Corporate/Retail,TEC-MON-10003664,Tech Products,Monitors,214.087215253116,7,0.15,-61.9784032574087
38,SN-20735-20191227,2019-12-27,2019-12-31,Low-Cost Shipping,SN-20735,Work from Home,BOO-FAN-10002986,Books,Fantasy,17.8062215550426,11,0.15,23.7717722023562
39,SN-20735-20191222,2019-12-22,2019-12-26,Low-Cost Shipping,SN-20735,Work from Home,TEC-COM-10002545,Tech Products,Computer Equipment,1.27618299590051,2,0.15,-88.4839450788018
40,SN-20735-20191222,2019-12-22,2019-12-26,Low-Cost Shipping,SN-20735,Work from Home,TEC-NET-10004218,Tech Products,Networking,99.9930437226032,5,0.1,-12.6689871018059
41,SN-20735-20191226,2019-12-26,2019-12-30,Low-Cost Shipping,SN-20735,Work from Home,STA-MIS-10000486,Stationary,Miscellaneous,733.622615951178,3,0.5,49.4545688715233
42,LC-16955-20210910,2021-09-10,2021-09-14,Low-Cost Shipping,LC-16955,Corporate/Retail,STA-MIS-10004093,Stationary,Miscellaneous,259.744419023968,6,0,5.04006347292318
43,RA-19910-20200717,2020-07-17,2020-07-21,Low-Cost Shipping,RA-19910,Corporate/Retail,BOO-SCI-10003479,Books,Sci-Fi,52.3282053893451,1,0.5,2.14678038023756
44,ES-14105-20210919,2021-09-19,2021-09-23,Low-Cost Shipping,ES-14105,Corporate/Retail,BOO-SCI-10003282,Books,Sci-Fi,79.0795136013272,4,0.5,8.83751406450699
45,ON-18740-20200305,2020-03-05,2020-03-09,First Class,ON-18740,Corporate/Retail,STA-PEN-10000171,Stationary,Pens,23.7786355080033,4,0.5,7.66528754135703
46,ON-18740-20200306,2020-03-06,2020-03-10,First Class,ON-18740,Corporate/Retail,BOO-MYS-10003291,Books,Mystery,24.7370696487504,1,0,16.3045934699009
47,PO-18890-20181016,2018-10-16,2018-10-20,Second Class,PO-18890,Personal,BOO-SCI-10001713,Books,Sci-Fi,337.558595881508,3,0,5.84900257309065
48,LH-16925-20200620,2020-06-20,2020-06-24,Low-Cost Shipping,LH-16925,Personal,STA-PEN-10002167,Stationary,Pens,14.6930664090191,2,0.15,7.12478043463193
49,LH-16925-20200617,2020-06-17,2020-06-21,Low-Cost Shipping,LH-16925,Personal,STA-MIS-10003988,Stationary,Miscellaneous,19.0322082175017,1,0.15,0.251013104934947
50,DP-13025-20190416,2019-04-16,2019-04-20,Low-Cost Shipping,DP-13025,Personal,BOO-MYS-10004410,Books,Mystery,15.5203457231774,5,0.15,21.7030330485681
51,DP-13025-20190417,2019-04-17,2019-04-21,Low-Cost Shipping,DP-13025,Personal,BOO-HOR-10002762,Books,Horror,148.202373355874,8,0,36.5162009091461
52,DP-13025-20190418,2019-04-18,2019-04-22,Low-Cost Shipping,DP-13025,Personal,TEC-MON-10001706,Tech Products,Monitors,9.0942707842901,4,0.1,4.15354932562857
53,DP-13025-20190413,2019-04-13,2019-04-17,Low-Cost Shipping,DP-13025,Personal,TEC-NET-10003061,Tech Products,Networking,19.4511297338831,3,0.5,9.98364603879862
54,JM-15290-20201208,2020-12-08,2020-12-12,Low-Cost Shipping,JM-15290,Corporate/Retail,BOO-HIS-10000304,Books,Historical,28.7579499833188,6,0.1,11.0608577555588
55,JM-15290-20201205,2020-12-05,2020-12-09,Low-Cost Shipping,JM-15290,Corporate/Retail,STA-MIS-10002447,Stationary,Miscellaneous,654.863791115306,4,0.5,56.2256694291403
56,TB-21080-20200612,2020-06-12,2020-06-16,First Class,TB-21080,Personal,BOO-SCI-10000604,Books,Sci-Fi,163.629990648094,8,0.15,47.9943451234732
57,TB-21080-20200611,2020-06-11,2020-06-15,First Class,TB-21080,Personal,BOO-ROM-10001569,Books,Romance,12.0569125928117,7,0.1,16.0847209392238
58,TB-21080-20200614,2020-06-14,2020-06-18,First Class,TB-21080,Personal,TEC-NET-10003968,Tech Products,Networking,570.711620146202,4,0.5,9.49441176379017
59,TB-21080-20200617,2020-06-17,2020-06-21,First Class,TB-21080,Personal,BOO-ROM-10000587,Books,Romance,9.90707519218025,4,0.5,6.32689571418252
60,TB-21080-20200612,2020-06-12,2020-06-16,First Class,TB-21080,Personal,STA-PEN-10002167,Stationary,Pens,37.4061220645453,1,0.15,4.26795181717443
61,TB-21080-20200616,2020-06-16,2020-06-20,First Class,TB-21080,Personal,BOO-MYS-10001460,Books,Mystery,15.6795031937583,6,0.1,16.6377398913181
62,TB-21080-20200611,2020-06-11,2020-06-15,First Class,TB-21080,Personal,BOO-GRA-10001868,Books,Graphic Novels,0.962872457821591,3,0.1,1.13912613693139
63,KM-16745-20191121,2019-11-21,2019-11-25,Low-Cost Shipping,KM-16745,Personal,STA-PEN-10004633,Stationary,Pens,17.5603200176266,4,0.15,8.62602324536639
64,KM-16745-20191118,2019-11-18,2019-11-22,Low-Cost Shipping,KM-16745,Personal,BOO-MYS-10001078,Books,Mystery,9.08230306885259,5,0.1,11.6277623847705
65,KM-16745-20191122,2019-11-22,2019-11-26,Low-Cost Shipping,KM-16745,Personal,BOO-ROM-10003892,Books,Romance,129.869994953864,5,0.5,119.775220559927
66,KM-16745-20191123,2019-11-23,2019-11-27,Low-Cost Shipping,KM-16745,Personal,TEC-MON-10000397,Tech Products,Monitors,87.0579439624255,3,0.5,41.6002907321506
67,PS-18995-20190424,2019-04-24,2019-04-28,Low-Cost Shipping,PS-18995,Work from Home,TEC-NET-10001146,Tech Products,Networking,379.880079765378,7,0.1,-20.6627072008892
68,BS-11615-20181202,2018-12-02,2018-12-06,Low-Cost Shipping,BS-11615,Corporate/Retail,BOO-GRA-10002671,Books,Graphic Novels,1779.88011635574,10,0.1,16.6322614439261
69,BS-11615-20181204,2018-12-04,2018-12-08,Low-Cost Shipping,BS-11615,Corporate/Retail,STA-MIS-10002726,Stationary,Miscellaneous,301.350022169115,6,0,17.8726741031438
70,KD-16295-20200531,2020-05-31,2020-06-04,First Class,KD-16295,Personal,BOO-ROM-10000482,Books,Romance,96.6027098901669,4,0.1,60.0857085717339
71,HM-15005-20200915,2020-09-15,2020-09-19,Low-Cost Shipping,HM-15005,Personal,BOO-MYS-10004654,Books,Mystery,6.59054855794985,4,0,0.303799623276759
72,TB-21545-20210910,2021-09-10,2021-09-14,Second Class,TB-21545,Personal,BOO-ROM-10004675,Books,Romance,5.86332461794683,5,0.15,0.2283090333625
73,JE-15770-20190423,2019-04-23,2019-04-27,Low-Cost Shipping,JE-15770,Personal,TEC-NET-10000513,Tech Products,Networking,719.764916097288,10,0.5,-175.146100062356
74,JE-15770-20190422,2019-04-22,2019-04-26,Low-Cost Shipping,JE-15770,Personal,TEC-MON-10003708,Tech Products,Monitors,176.463764383528,4,0.1,0.859856231468229
75,JE-15770-20190424,2019-04-24,2019-04-28,Low-Cost Shipping,JE-15770,Personal,BOO-SCI-10004123,Books,Sci-Fi,26.1886522642143,3,0.1,-1.13969003254168
76,KB-16625-20211208,2021-12-08,2021-12-12,First Class,KB-16625,Corporate/Retail,BOO-MYS-10004182,Books,Mystery,1.96707596675658e-02,2,0.1,-0.360130673057989
77,KB-16625-20211205,2021-12-05,2021-12-09,First Class,KB-16625,Corporate/Retail,TEC-MON-10000260,Tech Products,Monitors,13.301730126236,2,0.5,-8.25311334271029
78,KB-16625-20211207,2021-12-07,2021-12-11,First Class,KB-16625,Corporate/Retail,BOO-SCI-10000615,Books,Sci-Fi,8.61159149206513,2,0.1,3.59976746295294
79,JE-15770-20181124,2018-11-24,2018-11-28,Second Class,JE-15770,Personal,TEC-MON-10003194,Tech Products,Monitors,34.3197057953383,7,0.1,-18.7467820613288
80,SC-20795-20200608,2020-06-08,2020-06-12,First Class,SC-20795,Corporate/Retail,BOO-CLA-10002118,Books,Classics,128.554823757204,4,0.1,9.37899704991053
81,SC-20795-20200611,2020-06-11,2020-06-15,First Class,SC-20795,Corporate/Retail,BOO-MYS-10002309,Books,Mystery,27.6813548253759,2,0.15,12.5207810227996
82,DN-13715-20181012,2018-10-12,2018-10-16,Low-Cost Shipping,DN-13715,Personal,BOO-GRA-10002053,Books,Graphic Novels,1.92612077547846,7,0.1,0.572574956232816
83,DN-13715-20181012,2018-10-12,2018-10-16,Low-Cost Shipping,DN-13715,Personal,BOO-SCI-10002370,Books,Sci-Fi,3.55926300143806,4,0.1,2.06111806216475
84,JC-16130-20190830,2019-08-30,2019-09-03,Low-Cost Shipping,JC-16130,Corporate/Retail,BOO-FAN-10000927,Books,Fantasy,274.404134673187,9,0.5,54.6828633889423
85,CS-12425-20211107,2021-11-07,2021-11-11,First Class,CS-12425,Work from Home,BOO-SCI-10003656,Books,Sci-Fi,108.839025397684,5,0.5,-0.122004906042619
86,PO-18890-20210522,2021-05-22,2021-05-26,Second Class,PO-18890,Personal,TEC-NET-10000863,Tech Products,Networking,447.434595201014,1,0.5,19.9876562115735
87,PG-18920-20211023,2021-10-23,2021-10-27,Low-Cost Shipping,PG-18920,Personal,STA-PEN-10001998,Stationary,Pens,2.19066114160946,4,0.5,3.10397735330229
88,PG-18920-20211021,2021-10-21,2021-10-25,Low-Cost Shipping,PG-18920,Personal,BOO-HOR-10000134,Books,Horror,11.3339445196777,4,0.15,4.58008494039124
89,GM-14480-20200403,2020-04-03,2020-04-07,Second Class,GM-14480,Work from Home,BOO-SCI-10003442,Books,Sci-Fi,258.796891459066,6,0.1,9.65278181152418
90,JS-15710-20200914,2020-09-14,2020-09-18,Low-Cost Shipping,JS-15710,Corporate/Retail,BOO-GRA-10004930,Books,Graphic Novels,5.79872679421648,5,0.5,10.6746831319755
91,JS-15710-20200916,2020-09-16,2020-09-20,Low-Cost Shipping,JS-15710,Corporate/Retail,STA-MIS-10004093,Stationary,Miscellaneous,90.2665007152805,1,0.5,13.5137377934655
92,JS-15710-20200915,2020-09-15,2020-09-19,Low-Cost Shipping,JS-15710,Corporate/Retail,BOO-ROM-10000304,Books,Romance,1.53675269842538,3,0.5,3.2183697417302
93,KB-16340-20190130,2019-01-30,2019-02-03,Second Class,KB-16340,Personal,BOO-ROM-10003177,Books,Romance,18.4288930534639,1,0.15,10.7471415979195
94,KB-16340-20190128,2019-01-28,2019-02-01,Second Class,KB-16340,Personal,TEC-MON-10003799,Tech Products,Monitors,79.4351775600051,2,0.15,21.9027172253132
95,KB-16340-20190125,2019-01-25,2019-01-29,Second Class,KB-16340,Personal,BOO-MYS-10002852,Books,Mystery,41.1579144579633,1,0.5,16.9976889509602
96,RB-19730-20211106,2021-11-06,2021-11-10,Low-Cost Shipping,RB-19730,Work from Home,BOO-MYS-10004738,Books,Mystery,6.70283231079505,3,0.15,-2.18866254348882
97,PN-18800-20211103,2021-11-03,2021-11-07,Second Class,PN-18800,Work from Home,TEC-MON-10000629,Tech Products,Monitors,59.5817160737844,6,0.5,76.627652017312
98,KD-16370-20210617,2021-06-17,2021-06-21,First Class,KD-16370,Personal,BOO-MYS-10001721,Books,Mystery,72.3029181015787,5,0.5,32.4024113695907
99,ER-13880-20200901,2020-09-01,2020-09-05,Low-Cost Shipping,ER-13880,Corporate/Retail,BOO-CLA-10000358,Books,Classics,7.0614633440742,5,0.5,34.2662058452541
100,RB-19490-20200826,2020-08-26,2020-08-30,Low-Cost Shipping,RB-19490,Work from Home,BOO-ROM-10003256,Books,Romance,39.9895120561024,6,0.5,11.0426141820217
101,RB-19490-20200823,2020-08-23,2020-08-27,Low-Cost Shipping,RB-19490,Work from Home,STA-PEN-10001767,Stationary,Pens,142.591393990675,2,0.5,-19.0458299261126
102,RB-19490-20200825,2020-08-25,2020-08-29,Low-Cost Shipping,RB-19490,Work from Home,BOO-MYS-10002609,Books,Mystery,2.97085445023581,5,0.1,-5.42266223273526
103,GZ-14495-20201129,2020-11-29,2020-12-03,Second Class,GZ-14495,Personal,BOO-ROM-10004040,Books,Romance,36.46121448766,3,0.5,9.06560213975143
104,LC-16895-20191111,2019-11-11,2019-11-15,Low-Cost Shipping,LC-16895,Personal,STA-PEN-10001552,Stationary,Pens,50.3374831567224,5,0.15,-31.0158909149766
105,LC-16895-20191111,2019-11-11,2019-11-15,Low-Cost Shipping,LC-16895,Personal,TEC-MON-10004006,Tech Products,Monitors,90.2782456183243,2,0.1,-3.0368232652313
106,LC-16895-20191112,2019-11-12,2019-11-16,Low-Cost Shipping,LC-16895,Personal,BOO-MYS-10002794,Books,Mystery,11.5979248612337,5,0.5,-46.1140962163143
107,JM-15275-20211121,2021-11-21,2021-11-25,Low-Cost Shipping,JM-15275,Personal,STA-PEN-10003499,Stationary,Pens,0.738339131795414,10,0.5,20.1293641234658
108,JM-15275-20211122,2021-11-22,2021-11-26,Low-Cost Shipping,JM-15275,Personal,STA-MIS-10002844,Stationary,Miscellaneous,10.2941402121443,4,0,1.53197964431932
109,JM-15275-20211123,2021-11-23,2021-11-27,Low-Cost Shipping,JM-15275,Personal,BOO-GRA-10000390,Books,Graphic Novels,2.69252219140449,3,0,0.715560457576895
110,PA-19085-20191012,2019-10-12,2019-10-16,Low-Cost Shipping,PA-19085,Work from Home,STA-PEN-10000844,Stationary,Pens,490.481618973483,4,0.1,79.4342525270605
111,CV-12830-20211225,2021-12-25,2021-12-29,Low-Cost Shipping,CV-12830,Corporate/Retail,TEC-MON-10001934,Tech Products,Monitors,59.7955498844095,1,0.1,15.7743989607399
112,CL-12590-20201030,2020-10-30,2020-11-03,Low-Cost Shipping,CL-12590,Personal,BOO-GRA-10000380,Books,Graphic Novels,26.1187635949624,1,0.1,9.95196092799025
113,CL-12590-20201102,2020-11-02,2020-11-06,Low-Cost Shipping,CL-12590,Personal,BOO-MYS-10003981,Books,Mystery,8.81988569474311,5,0.1,15.8238241756807
114,RC-19985-20180819,2018-08-19,2018-08-23,Second Class,RC-19985,Personal,BOO-HIS-10000621,Books,Historical,33.9853711567822,16,0.1,6.10657545858449
115,RC-19985-20180823,2018-08-23,2018-08-27,Second Class,RC-19985,Personal,BOO-FAN-10002600,Books,Fantasy,3.73765589182676,1,0,2.78870231916679
116,RC-19985-20180820,2018-08-20,2018-08-24,Second Class,RC-19985,Personal,BOO-ROM-10004965,Books,Romance,29.7673862309939,5,0.5,12.9194058886932
117,RC-19985-20180825,2018-08-25,2018-08-29,Second Class,RC-19985,Personal,BOO-FAN-10002504,Books,Fantasy,60.7199200382866,8,0.1,20.2910965954836
118,DK-13115-20190225,2019-02-25,2019-03-01,Low-Cost Shipping,DK-13115,Personal,TEC-MOB-10001768,Tech Products,Mobile Devices,1355.12122095426,5,0.5,255.835820751608
119,GG-14675-20190404,2019-04-04,2019-04-08,Low-Cost Shipping,GG-14675,Corporate/Retail,BOO-MYS-10003650,Books,Mystery,302.456195519459,4,0.1,-208.531654059421
120,SC-20750-20200610,2020-06-10,2020-06-14,First Class,SC-20750,Personal,TEC-MON-10002157,Tech Products,Monitors,84.3290334907568,5,0.1,0.685526066816767
121,SC-20750-20200606,2020-06-06,2020-06-10,First Class,SC-20750,Personal,BOO-MYS-10003910,Books,Mystery,25.1986474528533,6,0.5,18.286886604334
122,SC-20750-20200610,2020-06-10,2020-06-14,First Class,SC-20750,Personal,BOO-SCI-10000777,Books,Sci-Fi,376.870178903767,5,0.15,85.1936012366884
123,SC-20750-20200609,2020-06-09,2020-06-13,First Class,SC-20750,Personal,BOO-FAN-10002500,Books,Fantasy,115.36693697238,8,0,17.5098839940605
124,SC-20750-20200607,2020-06-07,2020-06-11,First Class,SC-20750,Personal,STA-MIS-10003875,Stationary,Miscellaneous,93.3736202225121,6,0.1,21.2182330602698
125,AD-10205-20181220,2018-12-20,2018-12-24,Second Class,AD-10205,Work from Home,TEC-NET-10004063,Tech Products,Networking,40.9198043757718,2,0.1,-2.05198116554368
126,PF-19190-20180918,2018-09-18,2018-09-22,Low-Cost Shipping,PF-19190,Personal,TEC-MOB-10004534,Tech Products,Mobile Devices,845.933988557019,5,0.5,-689.950951101474
127,TS-21635-20211101,2021-11-01,2021-11-05,Low-Cost Shipping,TS-21635,Personal,BOO-MYS-10003274,Books,Mystery,3.34899356619012,1,0.15,-2.90556482037566
128,TS-21635-20211103,2021-11-03,2021-11-07,Low-Cost Shipping,TS-21635,Personal,BOO-SCI-10002974,Books,Sci-Fi,438.729611041842,9,0.15,22.2664948153159
129,LS-17000-20201031,2020-10-31,2020-11-04,Second Class,LS-17000,Work from Home,TEC-NET-10001146,Tech Products,Networking,142.594393208553,1,0.5,-8.88855643191825
130,LS-17000-20201031,2020-10-31,2020-11-04,Second Class,LS-17000,Work from Home,TEC-MON-10003773,Tech Products,Monitors,436.450728579157,2,0.5,5.06242177643925
131,DW-13610-20210130,2021-01-30,2021-02-03,First Class,DW-13610,Corporate/Retail,STA-MIS-10002293,Stationary,Miscellaneous,47.9711942370867,4,0.1,-6.8543556813673
132,DW-13610-20210201,2021-02-01,2021-02-05,First Class,DW-13610,Corporate/Retail,BOO-ROM-10002377,Books,Romance,118.887981958659,4,0.15,42.7333772918911
133,DW-13610-20210129,2021-01-29,2021-02-02,First Class,DW-13610,Corporate/Retail,BOO-HIS-10002780,Books,Historical,9.14968011311015,8,0.5,10.1116161899785
134,LC-16910-20201013,2020-10-13,2020-10-17,Low-Cost Shipping,LC-16910,Personal,BOO-ROM-10001804,Books,Romance,18.2870947997195,2,0.15,13.2328138612444
135,LC-16910-20201007,2020-10-07,2020-10-11,Low-Cost Shipping,LC-16910,Personal,BOO-ROM-10001736,Books,Romance,33.605537797158,4,0.5,30.0987635918003
136,LC-16910-20201010,2020-10-10,2020-10-14,Low-Cost Shipping,LC-16910,Personal,BOO-GRA-10001149,Books,Graphic Novels,5.43662458099346,3,0.1,0.968935731994206
137,LC-16910-20201007,2020-10-07,2020-10-11,Low-Cost Shipping,LC-16910,Personal,BOO-HIS-10002988,Books,Historical,1.69907898069338,1,0.15,1.71899467374156
138,LC-16910-20201007,2020-10-07,2020-10-11,Low-Cost Shipping,LC-16910,Personal,BOO-MYS-10004781,Books,Mystery,115.726078038554,5,0.5,11.0457869182138
139,LC-16910-20201012,2020-10-12,2020-10-16,Low-Cost Shipping,LC-16910,Personal,BOO-NON-10001218,Books,Non-Fiction,115.54386824682,5,0.15,32.636505166947
140,LC-16910-20201007,2020-10-07,2020-10-11,Low-Cost Shipping,LC-16910,Personal,TEC-MON-10001706,Tech Products,Monitors,75.238590685045,16,0.5,3.0225542197619
141,JD-15920-20200830,2020-08-30,2020-09-03,Second Class,JD-15920,Corporate/Retail,TEC-MON-10004848,Tech Products,Monitors,77.2719147642311,4,0.15,5.99755666558574
142,SH-20000-20210912,2021-09-12,2021-09-16,Low-Cost Shipping,SH-20000,Corporate/Retail,BOO-GRA-10000940,Books,Graphic Novels,4.42089748047779,2,0.15,2.4340262828921
143,SH-20000-20210918,2021-09-18,2021-09-22,Low-Cost Shipping,SH-20000,Corporate/Retail,BOO-FAN-10004030,Books,Fantasy,14.9112537220286,5,0.5,2.49187761276999
144,SH-20000-20210917,2021-09-17,2021-09-21,Low-Cost Shipping,SH-20000,Corporate/Retail,BOO-ROM-10004327,Books,Romance,255.727964293917,2,0.15,25.974179110521
145,SG-20105-20211219,2021-12-19,2021-12-23,Low-Cost Shipping,SG-20105,Personal,BOO-CLA-10001058,Books,Classics,1077.73813930235,5,0.5,305.657888655346
146,HA-14945-20190902,2019-09-02,2019-09-06,Low-Cost Shipping,HA-14945,Personal,BOO-SCI-10003656,Books,Sci-Fi,4.8976477678184,6,0.1,36.4046190503972
147,MG-17705-20181021,2018-10-21,2018-10-25,Low-Cost Shipping,MG-17705,Work from Home,TEC-MON-10000521,Tech Products,Monitors,153.844057823998,3,0.1,5.12729431830702
148,JE-16190-20201201,2020-12-01,2020-12-05,Low-Cost Shipping,JE-16190,Corporate/Retail,STA-MIS-10000215,Stationary,Miscellaneous,420.496525963453,10,0.1,28.9241884806436
149,JE-16190-20201202,2020-12-02,2020-12-06,Low-Cost Shipping,JE-16190,Corporate/Retail,STA-MIS-10001448,Stationary,Miscellaneous,54.6408019084741,5,0,8.16091579537792
150,JE-16190-20201203,2020-12-03,2020-12-07,Low-Cost Shipping,JE-16190,Corporate/Retail,TEC-NET-10000454,Tech Products,Networking,517.033726294207,7,0.1,1051.11490328829
151,JE-16190-20201203,2020-12-03,2020-12-07,Low-Cost Shipping,JE-16190,Corporate/Retail,BOO-MYS-10002735,Books,Mystery,309.220084037788,4,0.1,77.7941984657647
152,TW-21050-20200312,2020-03-12,2020-03-16,First Class,TW-21050,Work from Home,BOO-CLA-10000326,Books,Classics,308.869041175411,7,0,35.1348534416819
153,TW-21050-20200312,2020-03-12,2020-03-16,First Class,TW-21050,Work from Home,STA-MIS-10001254,Stationary,Miscellaneous,395.481454295868,4,0.5,21.9120237909224
154,SP-20675-20190529,2019-05-29,2019-06-02,First Class,SP-20675,Corporate/Retail,BOO-ROM-10001950,Books,Romance,116.181412292403,6,0,30.4568027998099
155,SP-20675-20190529,2019-05-29,2019-06-02,First Class,SP-20675,Corporate/Retail,BOO-ROM-10002254,Books,Romance,117.850597329161,6,0.1,1.80931527136595
